gene name	KO	thrshld	score	E-value	KO definition	MAG	CP	Count
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10052835_4	K07133	95.3	131.3	1.20E-38	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10052847_1	K01610	67.07	748.3	2.50E-225	phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10053059_2	K03833	299.8	380.4	5.40E-114	selenocysteine-specific elongation factor	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10053101_2	K13017	440.37	445.4	7.60E-134	UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase [EC:2.6.1.98]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10053101_4	K03664	27.17	222.4	1.20E-66	SsrA-binding protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10053214_2	K07052	27.87	37.7	3.50E-10	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10053214_3	K07133	95.3	184.3	1.10E-54	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10053328_2	K18005	633.23	638.7	2.30E-192	[NiFe] hydrogenase diaphorase moiety large subunit [EC:1.12.1.2]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10053498_3	K07080	83.67	245.2	4.00E-73	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10053624_2	K03545	63.03	291.5	4.30E-87	trigger factor	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10053624_3	K01358	58.9	343	4.80E-103	ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10053625_2	K18785	334.83	444.2	5.30E-134	beta-1,4-mannooligosaccharide/beta-1,4-mannosyl-N-acetylglucosamine phosphorylase [EC:2.4.1.319 2.4.1.320]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10053841_2	K01649	463.3	524	1.60E-157	2-isopropylmalate synthase [EC:2.3.3.13]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10053841_3	K00052	394.7	531.8	5.70E-160	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10053979_3	K02481	544.23	561.5	4.50E-169	two-component system, NtrC family, response regulator	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10054042_2	K07114	90.93	92.7	6.70E-27	Ca-activated chloride channel homolog	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10054285_2	K03652	39.53	218.7	4.30E-65	DNA-3-methyladenine glycosylase [EC:3.2.2.21]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10054285_4	K03701	137.17	399.1	1.20E-119	excinuclease ABC subunit A	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10054605_2	K01136	288.27	478.4	9.60E-144	iduronate 2-sulfatase [EC:3.1.6.13]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10054750_2	K07114	90.93	109.1	6.90E-32	Ca-activated chloride channel homolog	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10055613_2	K01818	115.63	318	3.30E-95	L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10055714_1	K02668	272.03	369.6	8.00E-111	two-component system, NtrC family, sensor histidine kinase PilS [EC:2.7.13.3]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10055714_2	K02653	444.9	514	9.30E-155	type IV pilus assembly protein PilC	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10055823_1	K01925	356.23	484.5	1.10E-145	UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10055823_2	K01929	364.53	424.9	1.70E-127	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10055849_2	K09482	373.2	505.8	2.00E-152	glutamyl-tRNA(Gln) amidotransferase subunit D [EC:6.3.5.7]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10055849_2	K01424	62.87	240.6	1.30E-71	L-asparaginase [EC:3.5.1.1]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10055849_3	K06877	302.7	499.8	4.50E-150	DEAD/DEAH box helicase domain-containing protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10056069_1	K02452	52.97	62	2.00E-17	general secretion pathway protein C	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10056069_3	K01885	301.97	480.2	3.40E-144	glutamyl-tRNA synthetase [EC:6.1.1.17]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10056431_1	K00020	235.63	285.2	3.20E-85	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10056431_3	K00175	236.67	244.3	8.90E-73	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10056431_3	K00176	71.3	84.4	1.80E-24	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10057221_1	K02004	51.5	59.9	4.70E-17	putative ABC transport system permease protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10057828_1	K02417	68.27	128.5	1.30E-37	flagellar motor switch protein FliN/FliY	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10058013_2	K11085	718.4	788.2	2.10E-237	ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10058013_2	K06147	606.67	674.4	8.00E-203	ATP-binding cassette, subfamily B, bacterial	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10058660_3	K07052	27.87	78.5	1.30E-22	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10058660_4	K07025	116.67	138.6	8.20E-41	putative hydrolase of the HAD superfamily	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10058660_4	K01091	114.47	128	1.10E-37	phosphoglycolate phosphatase [EC:3.1.3.18]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10058878_2	K02377	207.2	506.8	1.20E-152	GDP-L-fucose synthase [EC:1.1.1.271]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10058957_3	K07171	21.1	81.9	2.00E-23	mRNA interferase MazF [EC:3.1.-.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10058957_4	K07064	48.4	59.4	1.50E-16	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10058995_2	K03470	129.13	285.5	1.80E-85	ribonuclease HII [EC:3.1.26.4]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10058995_3	K02884	36.8	161.4	7.30E-48	large subunit ribosomal protein L19	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10059193_1	K07018	102.93	206.9	1.20E-61	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10059259_2	K07277	270.2	326.1	2.10E-97	outer membrane protein insertion porin family	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10059327_1	K09808	208.23	254.9	5.10E-76	lipoprotein-releasing system permease protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10059327_2	K04567	313.27	729.2	2.10E-219	lysyl-tRNA synthetase, class II [EC:6.1.1.6]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10059327_3	K03625	93.7	136.2	4.10E-40	transcription antitermination protein NusB	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10059327_4	K00794	44.87	139.7	3.30E-41	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10059379_4	K09803	24.43	102.1	1.00E-29	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10059434_2	K03154	32.27	48.4	2.20E-13	sulfur carrier protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10059434_3	K03406	63.73	166.8	2.30E-49	methyl-accepting chemotaxis protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10059831_6	K06204	35.43	86.3	1.20E-24	DnaK suppressor protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10060133_1	K01779	79.6	257.1	9.50E-77	aspartate racemase [EC:5.1.1.13]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10060133_4	K09796	37.83	139	6.80E-41	periplasmic copper chaperone A	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10060133_5	K07152	52.2	176.3	3.80E-52	protein SCO1/2	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10060155_2	K03088	62	157.8	1.40E-46	RNA polymerase sigma-70 factor, ECF subfamily	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10060480_1	K13963	378.7	428.1	2.10E-128	serpin B	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10060635_1	K03832	36.9	57.3	6.50E-16	periplasmic protein TonB	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10060635_2	K02171	51.3	93.7	2.30E-27	BlaI family transcriptional regulator, penicillinase repressor	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10060687_2	K03088	62	137.2	2.60E-40	RNA polymerase sigma-70 factor, ECF subfamily	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10060687_4	K01077	50.3	312.9	1.20E-93	alkaline phosphatase [EC:3.1.3.1]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10060706_1	K01921	108.73	139.4	4.00E-41	D-alanine-D-alanine ligase [EC:6.3.2.4]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10060706_2	K01921	108.73	123	3.70E-36	D-alanine-D-alanine ligase [EC:6.3.2.4]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10060758_1	K09992	60.2	91.8	1.30E-26	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10061247_2	K08296	76.87	123.2	4.10E-36	phosphohistidine phosphatase [EC:3.1.3.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10061247_4	K01524	162.87	283.2	1.50E-84	exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10061291_1	K00951	112.2	699.3	2.60E-210	GTP pyrophosphokinase [EC:2.7.6.5]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10061389_1	K21866	181.27	342.5	1.40E-102	ion channel POLLUX/CASTOR	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10061953_1	K02558	395.37	395.5	1.10E-118	UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10061953_2	K01297	79.03	305.5	1.20E-91	muramoyltetrapeptide carboxypeptidase [EC:3.4.17.13]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10061953_3	K01207	267.07	431.7	1.90E-129	beta-N-acetylhexosaminidase [EC:3.2.1.52]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10062040_1	K02004	51.5	180.2	1.60E-53	putative ABC transport system permease protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10062271_1	K20276	50.13	66.5	3.30E-19	large repetitive protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10062363_1	K01752	93	152.4	4.80E-45	L-serine dehydratase [EC:4.3.1.17]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10062363_2	K19244	342.5	363	3.50E-109	alanine dehydrogenase [EC:1.4.1.1]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10062474_4	K10046	311.73	315.6	1.10E-94	GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10062534_1	K03737	371.67	695.7	2.90E-209	pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10063037_1	K11068	169.33	241.1	5.30E-72	hemolysin III	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10063037_2	K01915	31	239.5	2.30E-71	glutamine synthetase [EC:6.3.1.2]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10063271_2	K18979	80.2	407	4.00E-122	epoxyqueuosine reductase [EC:1.17.99.6]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10063786_2	K03286	127.5	134.3	2.00E-39	OmpA-OmpF porin, OOP family	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10063792_1	K01990	254.93	364	4.30E-109	ABC-2 type transport system ATP-binding protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10063792_2	K01992	25.33	42.2	1.50E-11	ABC-2 type transport system permease protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10063794_1	K00945	69.63	274.8	3.30E-82	CMP/dCMP kinase [EC:2.7.4.25]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10063810_1	K01870	484.37	931	3.40E-280	isoleucyl-tRNA synthetase [EC:6.1.1.5]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10063810_2	K03101	26.63	64.9	2.10E-18	signal peptidase II [EC:3.4.23.36]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10064012_1	K02005	214.27	289.4	1.60E-86	HlyD family secretion protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10064012_3	K01971	205.4	298.1	4.00E-89	bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10064601_2	K00957	231.77	468.2	8.00E-141	sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10064605_2	K01654	396.23	451.8	7.70E-136	N-acetylneuraminate synthase [EC:2.5.1.56]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10064744_3	K06013	126.8	154	1.70E-45	STE24 endopeptidase [EC:3.4.24.84]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10064850_1	K03046	443.23	1408.4	0	DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10064851_3	K01803	39.93	354.4	3.00E-106	triosephosphate isomerase (TIM) [EC:5.3.1.1]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10064880_1	K00332	196.3	199.2	3.40E-59	NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10064880_2	K00330	118.37	180.4	1.50E-53	NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10065548_5	K07133	95.3	131.2	1.30E-38	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10065820_1	K01436	487.83	509.3	2.10E-153	amidohydrolase [EC:3.5.1.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10066243_1	K08309	130.9	146.4	5.60E-43	soluble lytic murein transglycosylase [EC:4.2.2.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10066243_2	K01872	190.93	689.8	2.40E-207	alanyl-tRNA synthetase [EC:6.1.1.7]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10066300_1	K01866	107.1	375.7	1.20E-112	tyrosyl-tRNA synthetase [EC:6.1.1.1]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10066334_2	K07402	52.03	282.6	2.00E-84	xanthine dehydrogenase accessory factor	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10066532_2	K04070	115.27	395.6	5.90E-119	putative pyruvate formate lyase activating enzyme [EC:1.97.1.4]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10066570_1	K03498	82.13	214.4	7.50E-64	trk system potassium uptake protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10066570_2	K03499	140.8	195.6	3.00E-58	trk system potassium uptake protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10066821_1	K07133	95.3	141.4	1.00E-41	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10066821_2	K01434	405.13	600.5	2.10E-180	penicillin amidase [EC:3.5.1.11]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10067052_2	K01874	215.13	617.4	9.00E-186	methionyl-tRNA synthetase [EC:6.1.1.10]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10067583_2	K05845	190.57	543.3	2.20E-163	osmoprotectant transport system substrate-binding protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10067583_2	K05846	177.5	259.1	2.90E-77	osmoprotectant transport system permease protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10067598_2	K18814	129.6	131.9	7.20E-39	putative inorganic carbon (hco3(-)) transporter	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10067598_2	K02847	119.57	120.1	2.80E-35	O-antigen ligase [EC:2.4.1.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10067668_1	K01113	75.23	75.5	1.00E-21	alkaline phosphatase D [EC:3.1.3.1]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10067908_2	K03606	365.47	436.4	5.00E-131	putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10068113_2	K03820	192.8	440.7	3.20E-132	apolipoprotein N-acyltransferase [EC:2.3.1.269]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10068506_4	K17218	220.4	386.3	6.00E-116	sulfide:quinone oxidoreductase [EC:1.8.5.4]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10068686_2	K07979	98.97	135.9	5.00E-40	GntR family transcriptional regulator	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10068754_3	K00971	95.77	158	1.20E-46	mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10068754_4	K00873	43.03	374.4	3.50E-112	pyruvate kinase [EC:2.7.1.40]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10068784_1	K02952	117.6	149.6	3.50E-44	small subunit ribosomal protein S13	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10068784_2	K02948	110.4	180.1	1.90E-53	small subunit ribosomal protein S11	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10068784_3	K02986	71.8	237.5	5.70E-71	small subunit ribosomal protein S4	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10068784_4	K03040	54.4	408.3	8.70E-123	DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10068784_5	K02879	36.83	39.4	1.40E-10	large subunit ribosomal protein L17	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10068785_1	K06442	59.57	340.9	1.90E-102	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10068785_3	K03602	21.4	96	5.30E-28	exodeoxyribonuclease VII small subunit [EC:3.1.11.6]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10068785_4	K03601	52.23	217.9	8.50E-65	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
